Repositorio,Estrelas,Ultimo_Commit,Script_Name,Porta,Package_Manager,Has_Package_Json,AXE,Pa11y,WAVE,AChecker,Lighthouse,Asqatasun,HTML_CodeSniffer,AplicacaoWeb
PanamaHat123/Ruoyi-Nest-React,134,2024-10-08T02:51:20Z,start,3000 (NestJS padrão),pnpm,sim,true,false,false,false,false,false,false,Sim
seymoe/QuillCMS,106,2025-06-07T08:14:25Z,start,3000 (Nuxt.js padrão),npm,sim,true,false,false,false,false,false,false,Sim
YasserElgammal/blog-cms,84,2025-04-10T15:04:54Z,dev,5173 (Vite padrão),npm,sim,true,false,false,false,false,false,false,Sim
cybertec-postgresql/pgwatch,503,2025-09-24T12:46:45Z,N/A,N/A,N/A,não,true,false,false,false,false,false,false,Sim
petaki/satellite,43,2025-03-14T17:19:39Z,dev,Porta não identificada,yarn,sim,true,false,false,false,false,false,false,Sim
TAIJULAMAN/EcommerceWeb-AdminSide,15,2024-10-18T21:09:03Z,start,5173 (Vite padrão),npm,sim,true,false,false,false,false,false,false,Sim
helwyza-f/dashboard-monitoring,5,2024-12-28T04:22:02Z,start,3000 (Next.js padrão),npm,sim,true,false,false,false,false,false,false,Sim
boussaidev/livekit-dashboard,5,2025-02-10T19:30:10Z,start,3000 (Next.js padrão),yarn,sim,true,false,false,false,false,false,false,Sim
Human-Centered-Optimization-Lab/pymoo-dashboard,4,2025-09-05T18:05:23Z,Sem scripts,N/A,npm,sim,true,false,false,false,false,false,false,Sim
StefanErrorerko/AnalyticalDashboardFlyingEtiquette,25,2025-01-25T16:40:18Z,start,3000 (Next.js padrão),npm,sim,true,false,false,false,false,false,false,Sim
microrealestate/microrealestate,890,2025-09-12T17:52:52Z,start,Porta não identificada,yarn,sim,true,false,false,false,false,false,false,Sim
fajarghifar/inventory-management-system,438,2025-06-11T03:28:46Z,dev,5173 (Vite padrão),npm,sim,true,false,false,false,false,false,false,Sim
Coderberg/ResidenceCMS,175,2025-03-01T13:43:46Z,dev,Porta não identificada,yarn,sim,true,false,false,false,false,false,false,Sim
PanamaHat123/Ruoyi-Nest-React,134,2024-10-08T02:51:20Z,start,3000 (NestJS padrão),pnpm,sim,true,false,false,false,false,false,false,Sim
seymoe/QuillCMS,106,2025-06-07T08:14:25Z,start,3000 (Nuxt.js padrão),npm,sim,true,false,false,false,false,false,false,Sim
YasserElgammal/blog-cms,84,2025-04-10T15:04:54Z,dev,5173 (Vite padrão),npm,sim,true,false,false,false,false,false,false,Sim
